# label,index_bend,index_tip_dist,middle_bend,middle_tip_dist,ring_bend,ring_tip_dist,pinky_bend,pinky_tip_dist
G,0.8141,3.5605,0.9732,4.4315,0.8905,3.1560,0.7920,2.8442
G,0.9886,1.1690,0.9532,1.1401,0.9126,0.6127,0.9050,0.4603
G,0.9900,1.1342,0.9564,1.0748,0.9034,0.6075,0.9098,0.4466
G,0.9959,1.0403,0.9483,1.0000,0.9002,0.5940,0.9053,0.4085
G,0.9948,1.0477,0.9516,1.0263,0.9146,0.5926,0.9166,0.4100
G,0.9952,1.1387,0.9339,1.1350,0.8928,0.6632,0.9001,0.4700
G,0.9832,1.0362,0.9437,1.0086,0.9023,0.5886,0.8956,0.4177
G,0.9965,1.0745,0.9383,1.0865,0.8945,0.6804,0.8979,0.4716
G,0.9956,1.0802,0.9418,1.0723,0.8944,0.6743,0.8971,0.4549
G,0.9892,1.0477,0.9386,1.0566,0.8902,0.6793,0.8925,0.4387
G,0.9994,1.1036,0.9307,1.1350,0.8819,0.6958,0.9018,0.4907
G,0.9994,0.9861,0.9358,1.0154,0.8897,0.6362,0.8979,0.4098
C,0.3524,1.3695,0.8856,1.0850,0.9827,1.0660,0.9483,0.8916
C,0.3246,1.3503,0.8746,1.0490,0.9873,1.0101,0.9456,0.8231
C,0.3226,1.3518,0.8894,1.0505,0.9965,1.0104,0.9607,0.8369
C,0.3288,1.3634,0.8591,1.0691,0.9862,1.0483,0.9600,0.8623
C,0.3212,1.3651,0.8673,1.0591,0.9854,1.0367,0.9634,0.8359
C,0.2774,1.3275,0.8983,1.0312,0.9746,0.9964,0.9443,0.7879
C,0.3385,1.3572,0.9016,1.0577,0.9854,1.0326,0.9442,0.8228
D,0.9657,0.8266,0.8932,0.5737,0.8578,0.4603,0.8715,0.3797
D,0.9578,0.8602,0.8790,0.5968,0.8527,0.4885,0.8655,0.4329
D,0.9933,0.8885,0.9147,0.5988,0.8824,0.5428,0.8618,0.5374
D,0.9771,0.8433,0.9097,0.5649,0.8629,0.5118,0.8672,0.4461
D,0.9770,0.8498,0.8916,0.5816,0.8566,0.4666,0.8468,0.3942
D,0.9657,0.8540,0.8884,0.5716,0.8578,0.5260,0.8537,0.4257
D,0.9781,0.8104,0.8689,0.5432,0.8533,0.3925,0.8381,0.2661
D,0.9323,0.7903,0.8864,0.5308,0.8566,0.3994,0.8498,0.2320
E,0.9343,0.9469,0.9753,0.8383,0.9371,0.6830,0.9114,0.5067
E,0.9152,0.9193,0.9724,0.8270,0.9470,0.6738,0.9090,0.5267
E,0.9620,0.9270,0.9478,0.8678,0.9288,0.7075,0.9323,0.5166
E,0.2312,0.6767,0.8817,0.4293,0.8619,0.2110,0.7896,0.4481
E,0.9706,0.5663,0.9282,0.3156,0.9189,0.2009,0.9046,0.4810
E,0.9448,0.5573,0.8908,0.3566,0.8661,0.3222,0.8407,0.5247
E,0.9572,0.5436,0.9181,0.3771,0.8742,0.3222,0.8602,0.3848
E,0.7789,1.1387,0.9436,1.0247,0.9509,0.6870,0.9118,0.3390
E,0.9177,1.0326,0.9581,0.9332,0.9362,0.6392,0.8728,0.2470
E,0.8767,1.0457,0.9559,0.9026,0.9414,0.6311,0.9336,0.2972
E,0.9794,0.8948,0.9302,0.7280,0.9122,0.5315,0.8676,0.4246
E,0.9836,0.8246,0.9392,0.6605,0.9437,0.4955,0.9291,0.3627
